participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_0000621,MB,-36,18,4,-0.172812045881092,0.283447859708797
SUJETO_0005719,MB,-36,18,4,-0.95162066847387,0.484726490630646
SUJETO_0006562,MB,-36,18,4,0.425901982444103,0.337799153491461
SUJETO_0012643,MB,-36,18,4,-0.200929420746186,0.184490975808998
SUJETO_0014011,MB,-36,18,4,0.244093266663828,0.360646331653354
SUJETO_0014895,MB,-36,18,4,-0.44607154994902,0.26232328431753
SUJETO_0016883,MB,-36,18,4,-0.485342780335082,0.467935999671175
SUJETO_0020285,MB,-36,18,4,-0.284847999890006,0.656588211678131
SUJETO_0020703,MB,-36,18,4,0.0768668190058735,0.220531815212258
SUJETO_0020974,MB,-36,18,4,0.052134558934756,0.60284067668084
SUJETO_0025948,MB,-36,18,4,-0.732128128033094,0.571921191357168
SUJETO_0026622,MB,-36,18,4,-1.25168014596207,0.181164005872521
SUJETO_0027033,MB,-36,18,4,-0.981628931870665,0.571345548551701
SUJETO_0027042,MB,-36,18,4,-0.476649547710714,0.445525434865184
SUJETO_0027510,MB,-36,18,4,-1.82330261396639,0.793115325122121
SUJETO_0028207,MB,-36,18,4,0.0141727659625537,0.323777357752418
SUJETO_0030383,MB,-36,18,4,0.170718313693398,0.556132347973295
SUJETO_0030459,MB,-36,18,4,0.0161021457646381,0.399487574535274
SUJETO_0031826,MB,-36,18,4,0.216392561642811,0.370564897496769
SUJETO_0032413,MB,-36,18,4,0.537699526909626,0.181203073480611
SUJETO_0033050,MB,-36,18,4,-0.265835563473479,0.331035408898884
SUJETO_0034539,MB,-36,18,4,-1.80558048625185,0.910755591908604
SUJETO_0036567,MB,-36,18,4,-1.93687067609845,0.488942011087381
SUJETO_0040017,MB,-36,18,4,-0.0169095103487824,0.223065032909563
SUJETO_0040081,MB,-36,18,4,0.086728108266011,0.365631966311798
SUJETO_0048205,MB,-36,18,4,0.2213605663297,0.338792045240873
SUJETO_0048533,MB,-36,18,4,0.158518804415985,0.345262826535382
SUJETO_0050473,MB,-36,18,4,0.571970041954156,0.253611557817695
SUJETO_0051018,MB,-36,18,4,-0.109349114500513,0.413268773805663
SUJETO_0053568,MB,-36,18,4,-1.47369209142646,0.447648872459361
SUJETO_0058378,MB,-36,18,4,-0.322031278661781,0.292207060086762
SUJETO_005868,MB,-36,18,4,0.720398804756126,0.241689778011179
SUJETO_0065422,MB,-36,18,4,-0.146827388282,0.222132471716795
SUJETO_0066360,MB,-36,18,4,0.031902474529966,0.437287649701054
SUJETO_0068071,MB,-36,18,4,0.354821481412709,0.332576934286438
SUJETO_0068784,MB,-36,18,4,-2.37579749539645,1.20166800554568
SUJETO_0071765,MB,-36,18,4,-0.294579006054185,0.35003501468638
SUJETO_0073050,MB,-36,18,4,0.0492567241784524,0.282698566530972
SUJETO_0073105,MB,-36,18,4,-0.0929956287804126,0.213331739029548
SUJETO_0073942,MB,-36,18,4,-0.678897021545304,0.575613573598802
SUJETO_0074431,MB,-36,18,4,-0.50767398542828,0.29566468137236
