participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_0000621,BB,-14,8,10,1.75875460078018,0.928983170802841
SUJETO_0005719,BB,-14,8,10,0.710848321818342,0.226059568039562
SUJETO_0006562,BB,-14,8,10,-0.409186488976984,0.601111404307204
SUJETO_0012643,BB,-14,8,10,0.721648138166979,0.53997838348338
SUJETO_0014011,BB,-14,8,10,1.31107857552442,0.587611625907058
SUJETO_0014895,BB,-14,8,10,1.66399746711808,0.525322620940367
SUJETO_0016883,BB,-14,8,10,0.454397661827806,0.792369451694019
SUJETO_0020285,BB,-14,8,10,0.799985604755806,0.185522136912657
SUJETO_0020703,BB,-14,8,10,0.77454608152009,0.347245618149609
SUJETO_0020974,BB,-14,8,10,-1.16601519595192,0.58658078617717
SUJETO_0025948,BB,-14,8,10,1.06311385694778,0.512089498023965
SUJETO_0026622,BB,-14,8,10,-0.199938383292068,0.609592342817188
SUJETO_0027033,BB,-14,8,10,0.771519651768183,0.300937178229246
SUJETO_0027042,BB,-14,8,10,0.0483194708899416,0.367368944781218
SUJETO_0027510,BB,-14,8,10,-0.41893389892548,0.428118419574426
SUJETO_0028207,BB,-14,8,10,0.379573627516176,0.467212985791574
SUJETO_0030383,BB,-14,8,10,0.44674859504507,0.235104110205173
SUJETO_0030459,BB,-14,8,10,-0.245796705172821,0.436608985101629
SUJETO_0031826,BB,-14,8,10,2.25336177662165,0.460870940304357
SUJETO_0032413,BB,-14,8,10,0.5807070017162,0.412006744344069
SUJETO_0033050,BB,-14,8,10,1.91008460401285,0.499138029038795
SUJETO_0034539,BB,-14,8,10,-0.711720671692882,0.303913695509566
SUJETO_0036567,BB,-14,8,10,1.5389763300467,0.576544252220885
SUJETO_0040017,BB,-14,8,10,1.33773961437471,0.509992462732162
SUJETO_0040081,BB,-14,8,10,0.0200375519855174,0.380640980010505
SUJETO_0048205,BB,-14,8,10,1.82538845111625,0.997528014564585
SUJETO_0048533,BB,-14,8,10,0.956791601247258,0.450601769397062
SUJETO_0050473,BB,-14,8,10,2.20555480140628,0.73768776392583
SUJETO_0051018,BB,-14,8,10,0.554973867768892,0.297225877248629
SUJETO_0053568,BB,-14,8,10,-0.354939654093198,0.165615075928453
SUJETO_0058378,BB,-14,8,10,0.212341178655436,0.2796517853589
SUJETO_005868,BB,-14,8,10,1.25315931499606,0.894742233712449
SUJETO_0065422,BB,-14,8,10,0.172286778900095,0.189286911537767
SUJETO_0066360,BB,-14,8,10,0.736935822876415,0.538976037699282
